Parameter,Layer,Index,Value
Weight of Layer 1,Weight,542,-0.0
Weight of Layer 1,Weight,543,-0.0
Weight of Layer 1,Weight,544,-0.0
Weight of Layer 1,Weight,545,-0.0
Weight of Layer 1,Weight,546,-0.0
Weight of Layer 1,Weight,547,-0.0
Weight of Layer 1,Weight,548,-0.0
Weight of Layer 1,Weight,549,0.0
Weight of Layer 1,Weight,550,0.0
Weight of Layer 1,Weight,551,0.0
Weight of Layer 1,Weight,552,0.0
Weight of Layer 1,Weight,553,0.0
Weight of Layer 1,Weight,554,0.0
Weight of Layer 1,Weight,555,0.0
Weight of Layer 1,Weight,556,0.0
Weight of Layer 1,Weight,557,-0.0
Weight of Layer 1,Weight,558,-0.0
Weight of Layer 1,Weight,559,-0.0
Weight of Layer 1,Weight,560,-0.0
Weight of Layer 1,Weight,561,0.0
Weight of Layer 1,Weight,562,0.0
Weight of Layer 1,Weight,563,0.0
Weight of Layer 1,Weight,564,0.0
Weight of Layer 1,Weight,565,0.0
Weight of Layer 1,Weight,566,0.0
Weight of Layer 1,Weight,567,-0.0
Weight of Layer 1,Weight,568,-0.0
Weight of Layer 1,Weight,569,-0.0
Weight of Layer 1,Weight,570,-0.0
Weight of Layer 1,Weight,571,-0.0
Weight of Layer 1,Weight,572,-0.0
Weight of Layer 1,Weight,573,-0.0
Weight of Layer 1,Weight,574,-0.0
Weight of Layer 1,Weight,575,-0.0
Weight of Layer 1,Weight,576,0.0
Weight of Layer 1,Weight,577,0.0
Weight of Layer 1,Weight,578,0.0
Weight of Layer 1,Weight,579,0.0
Weight of Layer 1,Weight,580,0.0
Weight of Layer 1,Weight,581,0.0
Weight of Layer 1,Weight,582,0.0
Weight of Layer 1,Weight,583,0.0
Weight of Layer 1,Weight,584,0.0
Weight of Layer 1,Weight,585,-0.0
Weight of Layer 1,Weight,586,-0.0
Weight of Layer 1,Weight,587,-0.0
Weight of Layer 1,Weight,588,-0.0
Weight of Layer 1,Weight,589,-0.0
Weight of Layer 1,Weight,590,0.0
Weight of Layer 1,Weight,591,0.0
Weight of Layer 1,Weight,592,0.0
Weight of Layer 1,Weight,593,0.0
Weight of Layer 1,Weight,594,0.0
Weight of Layer 1,Weight,595,0.0
Weight of Layer 1,Weight,596,0.0
Weight of Layer 1,Weight,597,0.0
Weight of Layer 1,Weight,598,0.0
Weight of Layer 1,Weight,599,0.0
Weight of Layer 1,Weight,600,0.0
Weight of Layer 1,Weight,601,0.0
Weight of Layer 1,Weight,602,0.0
Weight of Layer 1,Weight,603,0.0
Weight of Layer 1,Weight,604,0.0
Weight of Layer 1,Weight,605,0.0
